1000, 0.02376, 0.005
2000, 0.01508, 0.005
3000, 0.01297, 0.005
4000, 0.01225, 0.005
5000, 0.01138, 0.005
6000, 0.01074, 0.005
7000, 0.01050, 0.005
8000, 0.01008, 0.005
9000, 0.00961, 0.005
10000, 0.00975, 0.005
11000, 0.01032, 0.02
12000, 0.01005, 0.02
13000, 0.00933, 0.02
14000, 0.00907, 0.02
15000, 0.00865, 0.02
16000, 0.00849, 0.02
17000, 0.00781, 0.02
18000, 0.00791, 0.02
19000, 0.00751, 0.02
20000, 0.00759, 0.02
21000, 0.00747, 0.02
22000, 0.00727, 0.02
23000, 0.00776, 0.02
24000, 0.00716, 0.02
25000, 0.00715, 0.02
26000, 0.00681, 0.02
27000, 0.00730, 0.02
28000, 0.00681, 0.02
29000, 0.00668, 0.02
30000, 0.00675, 0.02
31000, 0.00658, 0.02
32000, 0.00657, 0.02
33000, 0.00653, 0.02
34000, 0.00656, 0.02
35000, 0.00643, 0.02
36000, 0.00635, 0.02
37000, 0.00639, 0.02
38000, 0.00618, 0.02
39000, 0.00628, 0.02
40000, 0.00625, 0.02
41000, 0.00625, 0.02
42000, 0.00586, 0.02
43000, 0.00609, 0.02
44000, 0.00606, 0.02
45000, 0.00582, 0.02
46000, 0.00615, 0.02
47000, 0.00575, 0.02
48000, 0.00564, 0.02
49000, 0.00580, 0.02
50000, 0.00591, 0.02
51000, 0.00579, 0.02
52000, 0.00564, 0.02
53000, 0.00581, 0.02
54000, 0.00556, 0.02
55000, 0.00574, 0.02
56000, 0.00579, 0.02
57000, 0.00577, 0.02
58000, 0.00568, 0.02
59000, 0.00545, 0.02
60000, 0.00540, 0.02
61000, 0.00553, 0.02
62000, 0.00533, 0.02
63000, 0.00529, 0.02
64000, 0.00525, 0.02
65000, 0.00540, 0.02
66000, 0.00526, 0.02
67000, 0.00548, 0.02
68000, 0.00540, 0.02
69000, 0.00518, 0.02
70000, 0.00517, 0.02
71000, 0.00516, 0.02
72000, 0.00523, 0.02
73000, 0.00529, 0.02
74000, 0.00512, 0.02
75000, 0.00515, 0.02
76000, 0.00525, 0.02
77000, 0.00510, 0.02
78000, 0.00515, 0.02
79000, 0.00522, 0.02
80000, 0.00518, 0.02
81000, 0.00494, 0.02
82000, 0.00511, 0.02
83000, 0.00501, 0.02
84000, 0.00509, 0.02
85000, 0.00493, 0.02
86000, 0.00497, 0.02
87000, 0.00489, 0.02
88000, 0.00489, 0.02
89000, 0.00512, 0.02
90000, 0.00477, 0.02
91000, 0.00502, 0.02
92000, 0.00489, 0.02
93000, 0.00487, 0.02
94000, 0.00491, 0.02
95000, 0.00503, 0.02
96000, 0.00495, 0.02
97000, 0.00455, 0.02
98000, 0.00459, 0.02
99000, 0.00496, 0.02
100000, 0.00465, 0.02
